Temperature (°C),Humidity (%),Moisture (%),Soil Type,Crop Type,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),pH,Rainfall (mm),Pest Level,Recommended Fertilizer,Dosage (kg/acre),Apply_After_Days,Expected Yield (q/ha)
36.3,37,22,Loamy,Rice,90,41,48,7.0,105,Low,Urea,70.3,15,73.3
27.7,43,44,Black,Sugarcane,83,42,58,6.0,172,Low,Urea,64.2,23,94.9
36.2,45,62,Sandy,Wheat,152,65,39,6.8,198,Low,Urea,75.4,15,80.4
22.6,65,59,Black,Groundnut,145,30,70,5.6,55,Low,DAP,39.0,13,88.7
20.2,54,34,Red,Wheat,160,73,100,6.6,110,Medium,NPK,38.8,20,97.7
37.1,77,49,Black,Pulses,148,61,48,7.4,327,Low,10-26-26,46.0,12,84.1
26.9,60,37,Black,Cotton,108,22,30,7.9,256,Low,Potash,43.7,33,79.7
23.5,52,56,Red,Pulses,105,63,68,7.0,118,Low,MOP,27.6,18,98.0
37.9,62,45,Red,Pulses,113,69,100,5.5,175,Low,MOP,38.5,10,118.3
33.2,43,57,Clayey,Sugarcane,132,35,87,6.5,156,High,Urea,75.9,29,79.0
23.5,49,61,Red,Maize,139,22,89,7.2,183,Low,DAP,54.3,12,92.8
30.4,54,32,Loamy,Wheat,87,37,48,8.2,170,Low,DAP,53.4,8,76.3
31.1,65,53,Loamy,Tomato,63,52,81,5.8,121,Low,10-26-26,38.6,32,101.6
32.8,76,68,Red,Wheat,76,21,44,7.1,155,Medium,NPK,59.5,12,95.3
24.1,77,22,Red,Soybean,143,79,66,6.1,199,Medium,14-35-14,37.2,17,99.2
32.1,49,50,Clayey,Sugarcane,151,23,86,7.8,139,High,Urea,80.1,31,71.2
35.0,55,43,Black,Cotton,66,24,42,7.8,140,High,Potash,46.8,26,74.4
37.1,49,33,Clayey,Pulses,154,52,40,7.0,233,Medium,DAP,67.6,8,70.6
29.6,36,67,Clayey,Soybean,103,40,96,5.9,138,Low,MOP,29.7,7,80.7
32.8,69,49,Sandy,Cotton,146,48,30,6.1,175,Low,Potash,36.2,26,80.5
26.5,36,50,Sandy,Sugarcane,123,74,49,5.5,75,Medium,Urea,56.8,34,75.6
24.7,43,51,Loamy,Rice,124,58,33,7.0,186,High,Urea,84.1,18,64.8
36.7,68,69,Loamy,Maize,105,22,70,6.6,106,Low,NPK,49.3,14,84.5
36.7,53,68,Red,Soybean,64,55,41,7.5,279,Medium,14-35-14,54.0,17,89.6
20.0,89,35,Red,Rice,77,40,59,6.1,262,High,Urea,82.6,9,64.3
23.5,86,61,Sandy,Pulses,120,28,87,6.6,157,High,DAP,64.8,13,80.8
22.3,58,62,Red,Pulses,128,49,91,5.5,103,Low,MOP,28.1,18,99.6
32.0,85,47,Loamy,Rice,69,69,40,7.9,280,Medium,Urea,89.5,16,88.9
21.9,88,53,Black,Wheat,51,37,42,7.7,308,Medium,DAP,77.9,12,83.8
30.2,54,63,Clayey,Groundnut,128,46,94,8.1,225,Low,14-35-14,40.7,8,109.0
27.4,54,56,Black,Pulses,86,62,68,8.1,312,Medium,10-26-26,46.9,10,114.8
35.8,79,51,Red,Wheat,77,33,59,5.9,278,High,NPK,76.3,15,71.1
37.8,69,40,Sandy,Pulses,137,70,31,5.3,180,Low,DAP,57.8,8,92.1
22.0,36,61,Red,Sugarcane,72,43,100,7.1,290,Medium,10-26-26,50.7,33,96.5
21.8,44,63,Black,Pulses,153,20,78,5.5,122,Low,10-26-26,29.3,11,82.6
22.1,60,46,Sandy,Cotton,80,55,100,8.0,158,Medium,Potash,29.5,22,80.0
35.6,53,29,Clayey,Groundnut,72,57,64,6.4,342,Low,14-35-14,53.2,13,103.8
24.7,51,24,Loamy,Maize,96,69,66,7.7,129,Medium,NPK,43.8,13,115.9
37.9,42,25,Loamy,Sugarcane,80,22,34,6.6,249,High,Urea,99.9,29,65.1
21.5,52,40,Red,Sugarcane,89,35,75,7.5,250,Low,10-26-26,41.5,22,110.8
21.0,52,44,Loamy,Maize,116,62,69,7.3,164,Medium,NPK,41.6,17,109.2
24.4,39,28,Black,Rice,69,32,55,6.3,162,Medium,NPK,52.6,17,82.3
28.7,53,47,Loamy,Groundnut,132,53,83,7.9,306,Low,MOP,38.7,17,86.4
21.1,80,26,Black,Tomato,60,33,89,7.5,60,High,NPK,47.0,20,70.2
27.0,90,55,Clayey,Pulses,144,43,85,6.8,173,High,DAP,59.0,20,83.7
31.8,78,47,Red,Tomato,132,40,58,7.5,115,Low,NPK,44.7,21,87.7
24.9,77,46,Black,Cotton,57,31,75,7.7,58,Medium,Potash,31.4,35,91.1
31.3,72,34,Sandy,Maize,90,70,74,5.9,266,High,NPK,63.3,8,70.9
36.3,64,25,Clayey,Tomato,108,51,38,7.1,312,Low,Potash,43.6,23,92.0
37.7,86,49,Black,Tomato,55,65,65,5.3,173,High,NPK,62.2,34,93.6
27.9,56,21,Red,Maize,151,39,68,5.7,319,Medium,DAP,70.3,11,94.5
27.9,44,69,Sandy,Wheat,90,49,91,8.0,87,Low,Urea,55.8,7,82.8
24.6,80,27,Sandy,Pulses,50,30,65,6.1,143,Low,DAP,51.4,7,102.3
23.0,75,46,Black,Sugarcane,87,76,91,8.2,139,High,Urea,63.3,22,93.3
20.8,40,52,Clayey,Sugarcane,122,46,73,5.7,232,Medium,Urea,70.7,27,73.2
33.6,57,64,Black,Maize,67,54,97,5.8,263,Low,Urea,78.6,11,103.8
22.6,46,55,Red,Maize,133,79,60,6.0,83,High,DAP,52.7,15,70.5
31.8,90,38,Black,Groundnut,69,67,64,5.7,51,High,DAP,58.2,18,67.8
26.3,66,55,Red,Wheat,83,56,74,6.2,172,Low,NPK,45.3,7,109.1
27.5,87,25,Clayey,Sugarcane,108,79,50,7.8,98,High,Urea,64.3,23,64.9
23.7,53,25,Sandy,Tomato,86,57,67,6.8,170,Medium,NPK,48.8,29,96.9
23.9,63,66,Red,Sugarcane,74,22,31,5.4,148,Low,10-26-26,42.4,34,70.0
35.4,47,59,Red,Soybean,129,78,37,5.5,330,High,14-35-14,65.3,8,70.5
23.9,38,35,Red,Wheat,100,62,35,6.1,298,High,NPK,65.1,15,72.7
33.2,74,37,Loamy,Pulses,76,35,74,5.7,194,High,14-35-14,54.3,9,73.2
31.8,38,59,Loamy,Soybean,99,22,70,5.6,193,High,Potash,48.6,10,68.0
33.6,90,51,Black,Tomato,117,62,77,6.5,183,Medium,NPK,45.6,20,103.0
27.1,59,40,Black,Sugarcane,83,63,60,7.9,327,Medium,Urea,85.1,28,85.0
37.1,75,36,Sandy,Soybean,134,37,86,6.6,159,Low,14-35-14,42.5,14,97.0
21.4,88,23,Sandy,Cotton,87,27,79,7.4,299,Medium,Potash,45.2,32,91.6
34.8,87,33,Red,Tomato,96,42,32,7.1,284,Low,NPK,61.1,25,84.1
33.2,37,31,Loamy,Sugarcane,120,20,78,5.4,236,High,Urea,94.9,32,67.0
32.5,46,20,Clayey,Cotton,153,39,59,5.4,123,Low,NPK,45.9,23,71.0
23.2,45,56,Loamy,Soybean,109,65,77,5.6,227,Low,Potash,29.3,10,73.1
24.2,77,53,Loamy,Sugarcane,149,54,85,5.5,104,Medium,Urea,55.5,32,98.5
21.7,50,46,Black,Pulses,144,51,82,6.7,199,Medium,10-26-26,38.3,14,80.7
22.2,60,62,Red,Groundnut,81,68,99,7.6,124,High,Urea,72.9,19,69.0
32.0,44,47,Clayey,Groundnut,86,56,87,6.8,155,Low,14-35-14,39.9,8,86.0
36.5,64,32,Black,Pulses,85,45,97,6.4,250,Medium,10-26-26,50.0,20,110.6
25.1,38,56,Red,Pulses,71,28,81,7.9,128,Low,MOP,30.2,13,81.8
28.8,83,27,Loamy,Pulses,99,77,70,6.1,338,High,14-35-14,59.9,7,99.0
37.6,60,31,Sandy,Cotton,139,75,94,7.7,61,Medium,Potash,26.9,25,90.3
34.7,55,31,Sandy,Soybean,142,33,64,7.7,339,High,14-35-14,73.4,15,73.3
30.0,46,22,Loamy,Groundnut,141,58,77,7.8,281,High,MOP,47.6,10,84.7
28.3,80,70,Red,Cotton,133,78,71,7.3,99,Low,Potash,27.7,20,81.2
32.5,48,30,Red,Rice,126,46,34,7.6,155,Medium,Urea,72.2,17,86.8
26.7,44,48,Red,Pulses,70,80,93,5.4,129,High,MOP,40.3,7,82.4
28.4,55,68,Clayey,Soybean,50,27,31,6.2,59,High,MOP,40.9,10,80.2
33.0,74,51,Red,Cotton,80,29,72,7.9,218,Medium,Potash,40.8,32,86.2
24.3,44,26,Clayey,Groundnut,63,72,35,5.7,89,Low,14-35-14,38.4,17,87.3
32.6,68,23,Red,Sugarcane,123,36,41,7.7,316,Medium,10-26-26,53.4,27,109.2
33.0,71,47,Black,Tomato,115,59,41,6.7,239,Medium,NPK,52.4,27,88.5
20.5,67,34,Red,Tomato,64,77,63,6.6,346,Low,NPK,55.5,21,109.0
22.1,65,51,Red,Wheat,130,60,72,5.8,154,Medium,NPK,46.8,11,107.7
29.9,62,29,Clayey,Sugarcane,131,65,72,6.7,216,High,Urea,79.0,22,99.9
36.3,58,58,Loamy,Wheat,117,57,36,7.6,311,Low,DAP,62.0,8,81.6
21.4,37,48,Black,Tomato,125,51,35,5.2,148,Low,NPK,40.3,34,72.2
27.1,81,41,Red,Sugarcane,84,38,61,5.3,309,Low,10-26-26,49.2,35,99.5
36.3,38,51,Loamy,Pulses,102,44,43,7.9,309,Low,14-35-14,58.8,8,96.9
27.9,83,35,Red,Wheat,83,21,58,5.9,143,High,NPK,61.7,10,70.6
21.6,45,50,Loamy,Groundnut,123,25,89,5.6,145,High,MOP,36.7,15,75.1
37.3,71,49,Loamy,Maize,62,45,48,5.7,302,High,NPK,75.8,12,64.3
34.5,39,33,Clayey,Cotton,143,74,58,5.3,182,Medium,NPK,54.5,35,84.0
30.8,52,25,Clayey,Cotton,92,37,53,6.6,256,Low,NPK,51.0,28,90.3
26.5,88,25,Red,Groundnut,60,31,100,7.6,107,Low,Urea,61.6,13,99.2
34.0,70,68,Loamy,Maize,124,46,45,7.2,266,Medium,NPK,64.4,8,92.0
22.8,77,35,Red,Sugarcane,141,25,91,5.7,191,Low,10-26-26,38.7,28,79.5
33.3,55,30,Red,Pulses,63,39,81,6.9,66,Low,MOP,33.1,20,82.2
37.3,65,25,Clayey,Maize,92,55,64,5.7,172,Low,10-26-26,36.7,15,101.1
31.6,63,37,Clayey,Wheat,87,23,44,7.2,187,Medium,DAP,67.7,12,74.0
36.9,51,67,Black,Tomato,114,37,82,7.9,335,Low,NPK,54.9,24,95.1
23.2,39,66,Loamy,Tomato,103,35,45,6.1,323,Low,10-26-26,46.2,35,65.5
24.1,82,32,Loamy,Tomato,112,61,50,6.7,122,High,10-26-26,35.8,28,96.5
21.8,47,66,Sandy,Wheat,68,42,36,6.4,121,Medium,Urea,66.4,8,74.8
27.6,42,36,Sandy,Rice,96,23,72,7.4,213,Medium,DAP,67.2,11,88.7
34.7,57,58,Loamy,Wheat,117,62,36,5.7,85,Low,DAP,45.5,12,80.1
24.7,46,21,Red,Tomato,159,27,60,7.1,321,Medium,NPK,62.4,27,95.9
23.0,87,54,Loamy,Rice,50,25,37,7.5,106,Medium,Urea,64.1,15,70.2
25.8,50,62,Sandy,Soybean,112,54,73,7.6,64,Low,14-35-14,32.3,20,96.3
26.3,55,70,Sandy,Maize,51,54,55,7.6,296,Low,NPK,56.1,13,86.3
37.6,50,64,Sandy,Groundnut,144,31,30,6.1,227,High,MOP,53.5,18,59.9
23.6,42,63,Black,Rice,149,78,35,6.3,135,Medium,NPK,47.3,9,68.9
35.5,35,61,Clayey,Cotton,106,78,78,8.1,216,High,NPK,65.2,27,82.5
22.1,45,32,Red,Soybean,78,64,36,8.0,229,Medium,14-35-14,48.3,14,91.4
32.0,37,46,Loamy,Groundnut,120,45,97,5.9,283,Low,MOP,39.2,12,91.5
26.5,42,22,Black,Maize,155,24,49,7.3,158,Medium,Urea,74.1,19,95.7
28.3,56,22,Red,Wheat,92,28,70,6.5,202,Medium,NPK,60.5,14,85.5
30.4,49,40,Sandy,Maize,84,64,97,6.9,50,Medium,NPK,38.9,10,71.7
25.1,89,21,Sandy,Wheat,85,21,94,8.1,165,Medium,Urea,70.7,7,94.3
36.7,79,41,Red,Cotton,124,29,36,7.9,214,Low,Potash,37.5,22,83.5
37.3,79,70,Sandy,Tomato,76,68,77,6.9,244,High,NPK,71.6,20,69.6
20.8,88,58,Black,Rice,58,60,71,6.9,113,High,NPK,45.4,17,64.6
34.2,50,27,Loamy,Groundnut,65,73,82,8.0,289,High,MOP,52.7,7,76.1
36.9,44,69,Clayey,Pulses,109,47,58,6.8,334,Low,DAP,70.4,19,83.7
36.7,41,49,Sandy,Rice,67,47,41,7.3,302,Low,DAP,71.4,14,87.6
35.9,65,30,Black,Cotton,99,79,62,6.7,279,High,Potash,51.1,20,65.9
36.0,55,63,Clayey,Pulses,118,64,52,6.2,218,Low,DAP,60.4,20,80.4
26.7,65,62,Red,Sugarcane,105,79,60,6.8,99,High,10-26-26,41.7,25,88.0
33.3,90,45,Loamy,Cotton,139,20,87,5.9,134,Medium,NPK,50.3,21,97.2
23.9,64,50,Clayey,Pulses,65,21,65,6.7,303,Low,DAP,61.7,14,88.1
37.8,80,68,Clayey,Wheat,91,30,83,5.8,302,Low,DAP,63.5,17,91.6
22.7,43,70,Black,Groundnut,110,22,65,5.3,319,Medium,DAP,63.3,17,88.0
27.4,40,66,Red,Tomato,136,70,70,7.0,204,High,NPK,56.3,35,84.7
21.7,62,40,Clayey,Groundnut,101,30,65,6.0,350,High,14-35-14,57.4,18,84.1
28.5,37,33,Clayey,Tomato,71,71,73,5.2,81,Low,Potash,25.7,28,92.8
21.2,55,33,Loamy,Sugarcane,150,39,34,6.0,329,High,Urea,88.9,27,74.9
27.6,62,41,Black,Pulses,64,67,71,8.1,243,Low,10-26-26,39.5,13,87.5
37.1,58,50,Clayey,Rice,133,27,60,7.7,314,Medium,Urea,101.5,13,95.2
31.4,63,25,Loamy,Soybean,99,21,96,6.9,165,Medium,Potash,38.8,15,96.1
28.8,74,66,Sandy,Wheat,150,42,56,5.3,50,Low,Urea,49.3,11,89.7
21.2,61,36,Black,Tomato,53,41,82,6.8,118,Medium,NPK,45.4,32,94.0
36.7,44,67,Red,Cotton,134,73,51,7.7,313,Low,Potash,38.2,25,72.3
36.4,59,59,Sandy,Sugarcane,140,77,49,5.7,224,Medium,Urea,73.7,27,82.6
36.0,47,47,Loamy,Soybean,103,39,60,7.9,209,High,Potash,44.0,11,70.4
31.1,63,21,Clayey,Cotton,116,59,76,5.6,173,High,NPK,49.9,32,92.3
29.3,61,36,Loamy,Groundnut,70,68,96,5.4,323,High,MOP,54.3,14,84.9
33.6,69,22,Sandy,Sugarcane,104,78,49,6.5,333,Low,Urea,87.0,21,78.4
27.7,83,41,Loamy,Cotton,138,30,34,5.7,74,High,NPK,55.7,20,76.4
23.0,73,54,Red,Sugarcane,82,52,46,5.5,148,Low,10-26-26,36.6,29,97.9
25.0,72,56,Red,Wheat,65,67,80,6.3,246,Low,NPK,53.0,11,76.9
22.2,88,44,Red,Soybean,71,60,39,8.1,229,Medium,14-35-14,49.2,13,83.2
25.8,46,54,Sandy,Groundnut,151,69,59,6.6,248,Medium,MOP,37.8,15,99.4
28.7,45,28,Sandy,Tomato,119,61,33,5.8,79,High,NPK,52.5,22,75.8
33.7,60,34,Sandy,Rice,105,36,31,6.9,149,Low,DAP,58.3,17,100.9
27.2,35,62,Clayey,Groundnut,118,68,64,5.4,150,High,14-35-14,41.9,13,60.8
24.7,35,31,Red,Soybean,137,69,53,7.1,192,High,14-35-14,44.3,19,63.6
26.5,69,23,Sandy,Tomato,137,38,88,6.9,103,Medium,NPK,39.5,28,84.8
36.5,79,42,Loamy,Soybean,62,56,66,6.0,210,Low,Potash,40.7,18,87.9
30.5,38,46,Sandy,Cotton,115,26,100,5.6,222,High,Potash,47.7,27,59.7
27.7,52,56,Red,Sugarcane,87,76,57,6.7,139,Medium,10-26-26,34.3,35,78.0
22.4,69,65,Clayey,Groundnut,129,24,93,7.2,201,Low,14-35-14,42.3,16,87.6
23.0,77,53,Red,Pulses,110,67,77,7.7,204,High,MOP,39.4,12,100.9
33.7,74,62,Loamy,Rice,92,29,77,7.2,98,Medium,Urea,71.9,12,81.5
36.8,39,53,Red,Wheat,122,71,57,7.8,325,Low,NPK,56.0,9,103.5
33.4,74,59,Clayey,Wheat,62,29,87,6.0,184,High,DAP,80.4,13,81.7
37.9,61,67,Sandy,Tomato,113,67,60,7.9,66,Low,NPK,39.4,31,89.6
37.0,85,41,Loamy,Wheat,156,77,78,7.5,198,High,DAP,60.6,11,73.1
28.6,73,24,Sandy,Sugarcane,139,68,63,5.6,104,High,Urea,70.1,28,70.4
37.2,41,30,Red,Tomato,133,69,73,6.8,287,High,NPK,69.0,27,77.5
34.4,69,28,Sandy,Pulses,158,61,84,6.6,57,High,DAP,48.2,10,93.8
29.2,74,31,Loamy,Tomato,109,60,95,5.5,170,High,10-26-26,41.6,28,91.1
27.9,76,61,Sandy,Pulses,123,74,39,6.8,271,High,DAP,67.1,8,77.4
23.7,78,43,Black,Maize,87,48,54,7.1,143,Low,Urea,60.1,19,97.3
20.2,47,39,Red,Groundnut,56,67,79,5.5,320,Low,Urea,77.4,11,86.7
28.1,80,62,Sandy,Wheat,101,47,70,6.9,316,Low,Urea,71.3,14,86.1
32.9,87,25,Clayey,Rice,80,41,71,7.7,212,High,Urea,83.2,13,78.2
29.5,81,49,Red,Pulses,115,45,55,6.6,191,High,MOP,46.2,12,78.3
30.0,50,26,Black,Pulses,67,63,96,5.5,231,Medium,10-26-26,41.9,14,110.7
30.8,38,55,Sandy,Rice,83,36,78,6.9,328,Medium,DAP,78.1,14,83.8
28.6,73,44,Clayey,Sugarcane,144,30,58,6.9,167,High,Urea,85.6,31,79.1
31.2,45,70,Loamy,Groundnut,129,40,61,5.5,126,Low,MOP,32.4,16,69.5
35.7,55,24,Sandy,Cotton,152,37,47,5.7,215,Medium,Potash,43.2,21,93.5
29.2,83,46,Red,Soybean,144,40,95,7.0,276,Low,14-35-14,43.5,13,109.7
23.7,51,49,Sandy,Groundnut,139,39,74,7.3,69,High,MOP,32.8,8,65.5
34.3,51,51,Red,Rice,140,21,55,6.7,173,Medium,Urea,85.3,8,97.2
21.7,89,23,Loamy,Soybean,117,42,39,8.2,96,Low,Potash,28.7,13,88.9
29.9,84,56,Clayey,Rice,58,36,74,6.2,219,Low,Urea,67.6,9,90.3
32.1,75,33,Sandy,Sugarcane,93,51,54,5.2,327,High,Urea,101.3,27,78.9
28.6,66,52,Loamy,Pulses,148,24,92,7.4,90,Medium,14-35-14,35.7,11,90.4
28.5,87,27,Sandy,Sugarcane,125,41,53,6.3,161,Low,Urea,58.8,20,99.5
29.0,86,25,Clayey,Maize,77,39,44,5.6,222,Low,10-26-26,44.3,19,74.4
33.1,59,25,Sandy,Sugarcane,146,43,52,6.1,249,High,Urea,96.7,26,86.3
21.8,43,58,Black,Maize,130,29,59,5.9,322,Low,Urea,82.2,9,73.0
32.9,45,56,Clayey,Maize,143,30,86,6.0,95,Low,10-26-26,30.9,16,83.3
23.4,85,20,Clayey,Wheat,142,51,86,6.7,323,Medium,DAP,69.4,8,90.6
37.5,57,35,Black,Soybean,106,51,64,8.0,308,High,MOP,54.6,14,77.4
30.4,67,39,Sandy,Maize,137,36,50,6.1,213,High,NPK,68.2,12,82.5
24.9,40,45,Red,Tomato,51,29,55,7.5,306,Low,NPK,59.6,25,91.4
20.7,82,26,Sandy,Soybean,121,74,74,8.0,52,High,14-35-14,36.6,8,96.1
34.4,61,34,Sandy,Wheat,81,55,65,8.2,223,Low,Urea,66.9,18,104.6
37.9,82,68,Red,Soybean,124,64,99,5.8,164,High,14-35-14,47.4,9,93.0
32.4,49,64,Black,Maize,84,68,49,7.5,249,High,Urea,87.8,11,76.3
29.4,57,55,Loamy,Groundnut,144,40,58,7.1,198,High,MOP,45.4,11,65.0
25.8,63,41,Loamy,Groundnut,61,56,97,6.1,184,Low,MOP,32.2,14,85.8
25.8,86,26,Sandy,Rice,129,73,100,7.9,132,Medium,DAP,52.4,16,86.2
36.6,47,54,Clayey,Groundnut,60,65,77,6.9,169,Medium,14-35-14,45.7,16,71.4
37.1,67,62,Clayey,Cotton,138,61,84,7.3,270,Low,NPK,49.0,28,99.3
31.4,60,52,Black,Cotton,141,64,61,5.5,265,Medium,Potash,40.8,33,93.8
34.0,77,39,Black,Sugarcane,66,64,48,8.1,123,High,Urea,75.4,25,62.4
21.8,49,22,Sandy,Maize,57,45,51,7.2,164,High,NPK,60.8,13,69.5
33.0,88,26,Clayey,Groundnut,59,35,31,5.4,291,Low,14-35-14,58.5,11,88.8
23.3,86,27,Black,Groundnut,138,67,44,5.5,126,Low,DAP,48.5,18,83.2
23.0,53,44,Black,Rice,150,24,50,5.5,141,Low,NPK,43.6,17,100.6
31.2,88,69,Black,Cotton,106,43,43,6.2,166,Low,Potash,32.0,23,83.5
21.4,60,60,Sandy,Sugarcane,130,69,99,5.7,110,Low,Urea,44.9,25,115.3
35.2,78,23,Black,Pulses,160,38,82,5.2,169,Low,10-26-26,34.7,8,86.4
23.9,76,69,Red,Pulses,86,22,49,6.1,294,High,MOP,60.0,8,60.1
32.1,83,62,Sandy,Soybean,153,79,71,8.0,123,Medium,14-35-14,42.0,11,105.9
25.7,50,45,Red,Soybean,157,44,93,5.8,319,Medium,14-35-14,50.4,9,79.9
33.1,84,59,Red,Sugarcane,72,48,54,5.3,241,Medium,10-26-26,50.3,35,96.7
35.3,73,46,Sandy,Rice,86,43,89,7.6,161,Low,DAP,51.6,11,103.4
20.9,80,50,Sandy,Pulses,67,44,94,7.3,126,High,DAP,54.9,18,68.5
36.0,68,41,Red,Wheat,85,63,35,7.9,179,High,NPK,59.2,8,89.1
27.1,56,34,Red,Groundnut,72,46,90,8.0,160,Low,Urea,56.4,9,106.2
20.0,54,70,Red,Maize,147,22,67,5.8,315,Low,DAP,63.2,17,92.1
24.1,80,46,Sandy,Maize,115,28,30,5.2,113,Medium,NPK,46.4,13,71.9
25.0,82,58,Clayey,Pulses,72,46,56,7.9,320,Low,DAP,67.1,9,91.9
34.9,60,30,Sandy,Soybean,112,65,77,6.2,326,Low,14-35-14,53.6,7,80.9
22.8,80,33,Loamy,Wheat,80,72,45,7.8,65,Medium,DAP,45.7,13,93.6
30.3,84,23,Sandy,Soybean,103,53,78,5.5,343,High,14-35-14,62.9,20,69.6
25.1,90,63,Clayey,Cotton,149,71,41,7.6,239,Medium,NPK,51.2,30,100.5
30.3,75,26,Clayey,Soybean,151,62,73,5.3,174,Low,MOP,34.2,16,88.2
27.5,73,40,Red,Soybean,79,58,52,7.6,163,High,14-35-14,52.0,18,80.2
25.7,81,51,Loamy,Maize,82,55,70,5.5,306,High,NPK,65.0,19,76.2
26.2,79,35,Clayey,Sugarcane,156,27,30,7.4,170,Low,Urea,70.7,33,102.4
28.8,45,63,Sandy,Tomato,126,52,68,7.4,320,Low,NPK,56.7,34,76.4
34.8,84,53,Red,Groundnut,109,22,77,7.2,273,Medium,Urea,94.3,15,79.7
31.2,63,49,Black,Tomato,131,30,47,6.9,114,High,NPK,60.7,33,62.1
26.4,47,32,Loamy,Tomato,64,30,93,6.3,123,High,10-26-26,46.4,34,57.4
27.3,62,50,Red,Wheat,54,22,42,6.1,135,Medium,NPK,53.3,17,92.1
32.5,62,28,Loamy,Groundnut,57,49,81,5.3,225,Low,MOP,39.2,7,89.3
23.6,57,42,Clayey,Rice,130,35,89,5.5,346,High,Urea,98.0,20,67.5
31.3,78,67,Loamy,Groundnut,160,25,95,5.7,341,Medium,MOP,48.9,11,89.2
37.6,86,51,Loamy,Groundnut,157,28,59,7.8,230,Medium,MOP,44.7,17,75.1
22.5,70,41,Sandy,Sugarcane,53,62,52,5.9,141,Medium,Urea,61.1,23,89.8
27.1,55,25,Black,Rice,75,63,75,7.2,131,Medium,NPK,46.5,13,99.0
26.3,76,60,Black,Soybean,102,33,98,7.1,64,High,MOP,34.4,12,74.2
36.3,79,22,Loamy,Sugarcane,123,52,97,7.5,77,High,Urea,62.2,26,68.9
21.6,90,46,Black,Maize,74,55,52,7.2,205,High,Urea,80.6,17,70.5
33.5,56,38,Sandy,Groundnut,93,40,100,6.6,335,Medium,MOP,54.3,17,87.6
30.2,35,53,Red,Wheat,142,25,53,7.4,68,Low,NPK,45.2,12,76.3
34.4,77,52,Sandy,Sugarcane,122,67,43,7.6,272,Medium,Urea,84.4,20,114.3
25.4,75,27,Clayey,Sugarcane,87,32,57,7.5,241,Medium,Urea,74.5,30,104.7
23.8,78,59,Red,Rice,125,41,35,7.6,310,Low,Urea,71.5,10,95.8
32.6,89,65,Loamy,Soybean,50,40,43,5.7,251,Medium,Potash,49.2,15,90.7
35.5,53,28,Black,Rice,112,74,31,5.3,232,Low,NPK,58.3,11,109.0
33.6,61,24,Sandy,Wheat,51,30,74,6.4,336,Low,Urea,83.5,12,94.6
23.3,37,63,Sandy,Cotton,132,72,91,6.7,243,Low,Potash,30.1,29,82.1
22.8,65,23,Black,Groundnut,98,22,71,7.6,253,Medium,DAP,62.8,12,109.8
31.9,77,68,Loamy,Pulses,144,51,53,6.5,249,Low,14-35-14,46.9,16,99.5
24.7,65,64,Black,Tomato,53,47,68,6.4,310,High,NPK,64.9,30,72.6
26.9,38,23,Loamy,Maize,50,33,34,7.7,311,High,NPK,85.9,18,51.3
32.1,41,26,Sandy,Soybean,126,39,45,5.9,137,High,14-35-14,50.1,15,79.0
34.1,45,38,Sandy,Rice,139,43,67,6.5,155,Medium,DAP,62.3,17,89.0
35.5,77,41,Loamy,Maize,64,50,35,6.6,136,High,NPK,59.3,13,74.5
32.0,54,22,Sandy,Rice,93,38,44,7.2,69,Medium,DAP,47.9,18,86.3
30.7,68,28,Sandy,Pulses,119,45,84,6.2,132,High,DAP,56.1,14,81.4
30.9,76,69,Red,Wheat,106,30,68,5.4,101,Low,NPK,43.9,16,81.0
29.9,57,20,Sandy,Cotton,118,78,50,7.9,115,Medium,Potash,28.7,35,101.5
25.3,79,20,Loamy,Wheat,73,24,73,6.1,347,Low,DAP,72.2,8,103.8
34.3,61,67,Sandy,Sugarcane,102,77,67,5.5,240,Medium,Urea,80.2,26,85.2
22.4,64,36,Loamy,Maize,72,49,92,5.7,138,Low,NPK,39.9,14,83.5
31.6,40,47,Loamy,Groundnut,57,31,85,5.3,122,High,MOP,42.0,11,77.2
33.2,45,61,Loamy,Sugarcane,69,59,81,6.4,180,Medium,Urea,74.1,20,98.3
22.5,59,59,Loamy,Sugarcane,131,70,56,7.3,77,Low,Urea,45.8,22,90.3
30.8,83,56,Loamy,Maize,76,70,96,6.1,324,Medium,NPK,64.9,9,103.5
22.0,55,22,Clayey,Soybean,79,41,46,5.7,154,High,MOP,39.1,13,67.7
30.0,86,37,Red,Maize,87,22,90,6.8,305,High,DAP,76.0,20,66.5
34.5,44,32,Black,Rice,56,70,79,6.7,271,Low,NPK,52.9,17,77.6
27.5,56,34,Black,Cotton,119,31,40,7.0,195,Medium,Potash,40.9,33,78.4
30.6,70,68,Clayey,Pulses,118,35,38,5.9,301,High,DAP,86.8,9,78.5
30.2,56,39,Clayey,Wheat,89,56,89,6.7,243,Low,DAP,55.2,8,85.3
21.0,51,31,Sandy,Soybean,131,67,44,5.8,170,Low,14-35-14,37.9,14,112.8
20.7,72,24,Sandy,Soybean,117,27,87,5.5,269,Low,14-35-14,41.8,16,108.5
35.3,50,37,Red,Soybean,65,45,87,5.3,224,Medium,14-35-14,55.7,16,75.4
33.3,74,26,Black,Sugarcane,107,65,95,8.1,112,Low,Urea,58.9,34,81.9
